United_States, 1.8, 3.9, 3.5, -2.8, -5.7, 4.1, 0
China, 5.2, 0.8, 5.3, 2.0, -2.8, 2.4, -5.3
Japan, 1.3, 2.9, 2.7, 2.9, -5.2, 0.7, -4.7
Britain, 0.3, 6.7, 4.2, -3.3, -4.3, 4.5, 8.9
Canada, 1.7, 3.4, 5.5, -0.6, -0.9, 3.6, -3.0
Austria, 0.8, 7.3, 5.1, 2.0, -2.4, 3.2, 8.7
Belgium, 0.9, 3.2, 5.7, -2.8, -4.7, 3.2, 8.7
France, 1.0, 5.4, 7.1, -1.7, -5.0, 3.1, 8.7
Germany, -0.1, 5.9, 3.0, 5.3, -2.3, 2.6, 8.7
Greece, 2.4, 3.8, 11.1, -5.9, -1.8, 3.9, 8.7
